iter	CrossEntropy
0	0.6434027347
1	0.602038967
2	0.5703348374
3	0.5460368683
4	0.5244096598
5	0.5050918192
6	0.4917693327
7	0.4795979825
8	0.4692894816
9	0.4599094028
